Rank,Name,GM,W-L,3FG,3FGA,3FG%
178,Mercer,31,20-Nov,228,663,34.4
179,The Citadel,30,18-Dec,370,1076,34.4
180,UTSA,32,17-15,294,855,34.4
181,Tennessee Tech,31,23-Aug,213,620,34.4
182,Ohio St.,33,19-14,249,725,34.3
183,UC Santa Barbara,32,22-10,204,594,34.3
184,Lamar University,33,20-13,228,664,34.3
185,North Florida,33,16-17,308,897,34.3
186,Oregon,35,23-12,266,775,34.3
187,Incarnate Word,31,25-Jun,174,508,34.3
188,Oklahoma,32,19-13,212,619,34.2
189,Milwaukee,31,22-Sep,237,692,34.2
190,Arkansas,32,17-15,241,704,34.2
191,SFA,30,14-16,201,588,34.2
192,Wright St.,34,21-13,271,793,34.2
193,Louisville,33,20-13,285,834,34.2
194,New Orleans,32,19-13,182,533,34.1
195,Morehead St.,33,13-20,260,762,34.1
196,UMass Lowell,32,15-17,246,721,34.1
197,Arizona St.,32,22-10,232,680,34.1
198,Rider,31,16-15,222,651,34.1
199,Loyola Maryland,32,21-Nov,210,616,34.1
200,South Dakota,30,13-17,227,666,34.1
201,LIU,32,16-16,277,813,34.1
202,SMU,32,15-17,263,772,34.1
203,Tulsa,32,18-14,222,652,34
204,Texas,32,16-16,272,799,34
205,Col. of Charleston,33,24-9,227,667,34
206,Houston Baptist,30,18-Dec,200,588,34
207,Youngstown St.,32,20-Dec,303,891,34
208,Green Bay,33,17-16,257,756,34
209,Baylor,32,19-13,254,748,34
210,Evansville,32,21-Nov,264,778,33.9
211,Siena,33,17-16,288,849,33.9
212,North Texas,33,21-12,284,838,33.9
213,Alabama,33,18-15,233,688,33.9
214,Nebraska,34,18-16,258,762,33.9
215,IUPUI,32,16-16,226,668,33.8
216,Ark.-Pine Bluff,32,13-19,194,574,33.8
217,Southeastern La.,33,17-16,235,696,33.8
218,Brown,30,19-11,231,685,33.7
219,UNLV,31,17-14,251,745,33.7
220,Troy,30,18-Dec,236,701,33.7
221,UAB,34,20-14,227,675,33.6
222,Arizona,32,17-15,235,699,33.6
223,Buffalo,34,31-3,325,968,33.6
224,Kansas St.,33,25-8,233,694,33.6
225,Florida St.,34,27-7,255,760,33.6
226,Tennessee St.,30,21-Sep,240,716,33.5
227,Kent St.,32,22-10,249,743,33.5
228,New Mexico St.,34,30-4,319,952,33.5
229,Louisiana Tech,33,20-13,253,756,33.5
230,Florida,34,19-15,277,828,33.5
231,Arkansas St.,32,13-19,237,709,33.4
232,Dayton,32,21-11,200,599,33.4
233,St. Francis Brooklyn,32,17-15,259,777,33.3
234,Miami (FL),32,14-18,268,805,33.3
235,Xavier,33,18-15,231,694,33.3
236,Providence,33,18-15,222,667,33.3
237,Illinois St.,33,17-16,244,734,33.2
238,CSU Bakersfield,31,16-15,212,638,33.2
239,Fordham,32,20-Dec,276,831,33.2
240,Sacramento St.,31,15-16,175,527,33.2
241,New Hampshire,29,24-May,261,787,33.2
242,South Carolina St.,34,26-Aug,193,582,33.2
243,Grand Canyon,33,20-13,248,748,33.2
244,Manhattan,32,21-Nov,219,661,33.1
245,Pittsburgh,33,14-19,225,680,33.1
,Southern U.,32,25-Jul,180,544,33.1
247,La Salle,31,21-Oct,259,783,33.1
248,Temple,32,23-9,240,726,33.1
249,BYU,32,19-13,226,684,33
250,Jacksonville,32,20-Dec,213,645,33
251,Cornell,30,15-15,233,706,33
252,George Mason,33,18-15,210,637,33
253,Syracuse,33,20-13,262,795,33
254,USC Upstate,32,26-Jun,269,817,32.9
255,Texas St.,33,24-9,238,723,32.9
256,Air Force,32,14-18,234,711,32.9
257,Clemson,32,19-13,207,629,32.9
258,Central Conn. St.,31,20-Nov,201,612,32.8
259,UC Davis,31,20-Nov,203,619,32.8
260,San Jose St.,31,27-Apr,210,641,32.8
261,St. Bonaventure,34,18-16,208,635,32.8
262,Cal Poly,29,23-Jun,225,687,32.8
263,Western Ky.,34,20-14,199,608,32.7
264,Towson,32,22-Oct,180,550,32.7
265,Eastern Ky.,31,13-18,272,832,32.7
266,Alcorn,31,21-Oct,211,646,32.7
267,South Fla.,32,19-13,221,677,32.6
268,Stony Brook,32,24-8,224,687,32.6
269,American,30,15-15,190,583,32.6
270,Middle Tenn.,32,21-Nov,212,651,32.6
271,Portland,32,25-Jul,216,664,32.5
272,A&M-Corpus Christi,32,14-18,202,621,32.5
,Ball St.,33,16-17,202,621,32.5
274,Memphis,34,21-13,252,775,32.5
275,Bryant,30,20-Oct,230,708,32.5
276,UNC Asheville,31,27-Apr,223,687,32.5
277,Saint Peter's,32,22-Oct,184,567,32.5
278,Colorado,33,21-12,212,654,32.4
279,Canisius,32,15-17,256,791,32.4
280,Seton Hall,33,20-13,231,714,32.4
281,UMBC,34,21-13,261,807,32.3
282,LSU,32,26-6,219,678,32.3
283,Miami (OH),32,15-17,269,833,32.3
284,Ga. Southern,33,21-12,204,632,32.3
285,Fla. Atlantic,32,17-15,279,865,32.3
286,Morgan St.,30,21-Sep,168,521,32.2
287,Duquesne,32,19-13,271,841,32.2
288,Saint Joseph's,33,14-19,280,869,32.2
289,Texas Southern,34,21-13,248,771,32.2
290,Georgia,32,21-Nov,210,653,32.2
291,Minnesota,34,21-13,178,554,32.1
292,Bethune-Cookman,31,14-17,204,635,32.1
293,UTEP,29,21-Aug,199,620,32.1
294,Alabama St.,31,19-Dec,216,673,32.1
295,Oregon St.,31,18-13,203,633,32.1
296,Penn St.,32,14-18,222,693,32
297,Akron,33,17-16,297,929,32
298,Cal St. Fullerton,33,16-17,182,570,31.9
299,Tulane,31,27-Apr,213,670,31.8
300,LMU (CA),31,20-11,146,460,31.7
301,Boston College,31,14-17,218,687,31.7
302,Navy,31,19-Dec,208,656,31.7
303,West Virginia,34,14-20,253,798,31.7
304,Stanford,31,15-16,207,653,31.7
305,UTRGV,35,19-16,187,590,31.7
306,Valparaiso,33,15-18,185,585,31.6
307,Alabama A&M,32,27-May,182,576,31.6
308,Jacksonville St.,33,24-9,200,633,31.6
309,N.C. Central,33,18-15,212,672,31.5
310,Western Mich.,32,24-Aug,228,723,31.5
311,Notre Dame,33,14-19,272,863,31.5
,Army West Point,32,13-19,272,863,31.5
313,Stetson,31,24-Jul,215,684,31.4
314,Indiana,32,17-15,193,615,31.4
315,Northwestern,32,13-19,233,745,31.3
316,Rutgers,31,14-17,191,612,31.2
317,Vanderbilt,32,23-Sep,230,739,31.1
318,Prairie View,34,22-12,210,675,31.1
319,Maine,32,27-May,201,647,31.1
320,George Washington,33,24-Sep,196,631,31.1
321,Charlotte,29,21-Aug,191,615,31.1
322,Kennesaw St.,32,26-Jun,136,438,31.1
323,Mississippi Val.,32,26-Jun,172,554,31
324,Wichita St.,33,19-14,247,797,31
325,Portland St.,32,16-16,238,769,30.9
326,High Point,31,16-15,180,583,30.9
327,Mt. St. Mary's,31,22-Sep,223,723,30.8
328,Saint Louis,35,23-12,201,652,30.8
329,Wake Forest,31,20-Nov,197,640,30.8
330,Texas A&M,32,14-18,204,663,30.8
331,VCU,32,25-7,229,745,30.7
332,Georgia Tech,32,14-18,176,573,30.7
333,McNeese,31,22-Sep,168,548,30.7
334,FIU,32,19-13,269,878,30.6
335,Wagner,30,13-17,236,773,30.5
336,Princeton,28,16-12,207,679,30.5
337,UT Arlington,33,17-16,234,773,30.3
338,SIUE,31,21-Oct,201,665,30.2
339,Duke,34,29-5,247,818,30.2
340,Chicago St.,32,29-Mar,141,471,29.9
341,Monmouth,35,14-21,168,566,29.7
342,Delaware St.,31,25-Jun,234,789,29.7
343,Ohio,31,14-17,187,633,29.5
344,Eastern Mich.,32,15-17,187,634,29.5
345,Northwestern St.,31,20-Nov,190,646,29.4
346,Savannah St.,31,20-Nov,351,1199,29.3
347,Coppin St.,33,25-Aug,240,841,28.5
348,East Carolina,31,21-Oct,155,545,28.4
349,UMES,32,25-Jul,172,610,28.2
350,Jackson St.,32,13-19,155,554,28
351,Rhode Island,33,18-15,172,615,28
,,,,,,
      ,,,,,,
