Rank,Name,GM,W-L,FT,FTA,FT%
230,Western Mich.,32,24-Aug,470,680,69.1
231,Oklahoma,32,19-13,405,586,69.1
232,Oral Roberts,32,21-Nov,340,492,69.1
233,Providence,33,18-15,512,741,69.1
234,Long Beach St.,34,15-19,574,831,69.1
235,Duke,34,29-5,518,751,69
236,Dayton,32,21-11,389,564,69
237,UMBC,34,21-13,395,573,68.9
238,Montana,34,26-8,419,608,68.9
239,Tulane,31,27-Apr,403,585,68.9
240,Georgia Tech,32,14-18,405,588,68.9
241,Oklahoma St.,32,20-Dec,378,549,68.9
242,Southeast Mo. St.,31,21-Oct,358,520,68.8
243,Mercer,31,20-Nov,446,648,68.8
244,Eastern Ill.,32,14-18,375,545,68.8
245,New Orleans,32,19-13,455,662,68.7
246,Lamar University,33,20-13,565,823,68.7
247,South Alabama,34,17-17,459,669,68.6
248,Rice,32,13-19,500,729,68.6
249,Xavier,33,18-15,417,608,68.6
250,TCU,33,20-13,419,611,68.6
251,Monmouth,35,14-21,530,773,68.6
252,Southern Ill.,32,17-15,377,550,68.5
253,Creighton,32,18-14,370,540,68.5
254,George Washington,33,24-Sep,411,600,68.5
255,Marist,31,19-Dec,363,530,68.5
256,UNLV,31,17-14,443,647,68.5
257,Grambling,33,17-16,531,776,68.4
258,UC Riverside,33,23-Oct,290,424,68.4
259,Boston U.,33,15-18,320,468,68.4
260,Army West Point,32,13-19,322,471,68.4
261,West Virginia,34,14-20,552,808,68.3
262,Chattanooga,32,20-Dec,312,457,68.3
263,Cleveland St.,31,21-Oct,399,585,68.2
264,SFA,30,14-16,414,607,68.2
265,Texas St.,33,24-9,459,673,68.2
266,UIC,32,16-16,358,525,68.2
267,East Carolina,31,21-Oct,435,638,68.2
268,South Carolina,32,16-16,473,694,68.2
269,Massachusetts,32,21-Nov,391,574,68.1
270,Prairie View,34,22-12,591,868,68.1
271,Syracuse,33,20-13,465,683,68.1
272,Northwestern St.,31,20-Nov,411,604,68
273,Rhode Island,33,18-15,479,704,68
274,UConn,33,16-17,436,641,68
275,Fordham,32,20-Dec,314,462,68
276,Siena,33,17-16,299,440,68
277,Minnesota,34,21-13,549,808,67.9
278,Delaware St.,31,25-Jun,332,489,67.9
279,Mt. St. Mary's,31,22-Sep,403,594,67.8
280,Ark.-Pine Bluff,32,13-19,476,702,67.8
281,Air Force,32,14-18,341,503,67.8
282,St. Francis Brooklyn,32,17-15,386,570,67.7
283,High Point,31,16-15,409,604,67.7
284,Jacksonville,32,20-Dec,394,582,67.7
285,Middle Tenn.,32,21-Nov,373,551,67.7
286,Chicago St.,32,29-Mar,393,581,67.6
287,Charleston So.,32,17-15,380,562,67.6
288,Savannah St.,31,20-Nov,359,531,67.6
289,New Mexico St.,34,30-4,464,687,67.5
290,Western Caro.,32,25-Jul,424,628,67.5
291,Houston Baptist,30,18-Dec,535,793,67.5
292,Alcorn,31,21-Oct,366,543,67.4
293,Baylor,32,19-13,407,604,67.4
294,Central Mich.,34,23-11,598,888,67.3
295,Vanderbilt,32,23-Sep,478,710,67.3
296,UMES,32,25-Jul,329,489,67.3
297,Stanford,31,15-16,432,643,67.2
298,Arizona St.,32,22-10,556,829,67.1
299,Portland,32,25-Jul,448,668,67.1
300,Bowling Green,34,22-12,506,755,67
301,UAB,34,20-14,407,608,66.9
302,North Texas,33,21-12,356,532,66.9
303,William & Mary,31,14-17,385,576,66.8
304,Southern U.,32,25-Jul,393,588,66.8
,FGCU,32,14-18,393,588,66.8
306,Alabama,33,18-15,482,722,66.8
307,Holy Cross,33,16-17,283,424,66.7
308,CSU Bakersfield,31,16-15,377,565,66.7
309,Loyola Chicago,33,20-13,359,539,66.6
310,ETSU,33,24-9,410,616,66.6
311,Texas Southern,34,21-13,585,879,66.6
312,Northern Ky.,34,26-8,477,717,66.5
313,Arkansas,32,17-15,484,728,66.5
314,Coppin St.,33,25-Aug,458,689,66.5
315,N.C. A&T,32,19-13,364,548,66.4
316,Kansas St.,33,25-8,371,559,66.4
317,Georgia St.,33,24-9,449,677,66.3
318,Indiana,32,17-15,420,635,66.1
319,Richmond,33,13-20,365,552,66.1
320,UTEP,29,21-Aug,382,578,66.1
321,Old Dominion,34,26-8,382,579,66
322,Mississippi Val.,32,26-Jun,426,647,65.8
323,Louisiana Tech,33,20-13,453,690,65.7
324,Little Rock,31,21-Oct,461,703,65.6
325,San Francisco,31,21-10,372,568,65.5
326,San Jose St.,31,27-Apr,406,620,65.5
327,Southern Miss.,32,20-12,307,469,65.5
328,Alabama St.,31,19-Dec,446,684,65.2
329,Wisconsin,33,23-10,336,518,64.9
330,Cal Poly,29,23-Jun,293,452,64.8
,Maine,32,27-May,293,452,64.8
332,Binghamton,33,23-Oct,291,450,64.7
333,UCF,31,23-8,495,767,64.5
334,Southern California,33,16-17,363,563,64.5
335,South Fla.,32,19-13,569,887,64.1
336,FIU,32,19-13,508,795,63.9
337,Penn,31,19-12,326,511,63.8
338,CSUN,33,13-20,418,656,63.7
339,Rutgers,31,14-17,372,584,63.7
340,Jackson St.,32,13-19,385,607,63.4
341,Ohio,31,14-17,381,602,63.3
342,UCLA,33,17-16,486,768,63.3
343,Tennessee Tech,31,23-Aug,407,645,63.1
344,Eastern Mich.,32,15-17,380,604,62.9
345,Alabama A&M,32,27-May,284,453,62.7
346,Rider,31,16-15,465,755,61.6
347,Florida A&M,31,19-Dec,309,503,61.4
348,New Hampshire,29,24-May,235,385,61
349,Bethune-Cookman,31,14-17,420,689,61
350,Saint Louis,35,23-12,474,793,59.8
351,Manhattan,32,21-Nov,312,534,58.4
,,,,,,
      ,,,,,,
